Market,Sentiment,Concept,Verbatim
UK,Likes,Skin Benefit Scrub Collection X3,It seems new and different
UK,Likes,Skin Benefit Scrub Collection X3,That its all natural
UK,Likes,Skin Benefit Scrub Collection X3,Benefits
UK,Likes,Skin Benefit Scrub Collection X3,Three scrubs that target different problems
UK,Likes,Skin Benefit Scrub Collection X3,Purifying skin and vegan
UK,Likes,Skin Benefit Scrub Collection X3,I like thay theres 3 products that each cater to a different skin type and all include natural ingredients
UK,Likes,Skin Benefit Scrub Collection X3,It’s good for the skin
UK,Likes,Skin Benefit Scrub Collection X3,It's for sensitive skin.
UK,Likes,Skin Benefit Scrub Collection X3,The fact that it repairs skin conditions
UK,Likes,Skin Benefit Scrub Collection X3,I liked it all
UK,Likes,Skin Benefit Scrub Collection X3,"Convenient, portable, effective."
UK,Likes,Skin Benefit Scrub Collection X3,Everything
UK,Likes,Skin Benefit Scrub Collection X3,Purifying
UK,Likes,Skin Benefit Scrub Collection X3,Suitable for all skin types
UK,Likes,Skin Benefit Scrub Collection X3,New product
UK,Likes,Skin Benefit Scrub Collection X3,Kind with skin
UK,Likes,Skin Benefit Scrub Collection X3,ingredients
UK,Likes,Skin Benefit Scrub Collection X3,natural products friendly to planet
UK,Likes,Skin Benefit Scrub Collection X3,Appeals to all my needs
UK,Likes,Skin Benefit Scrub Collection X3,I just love soap and glory products
UK,Likes,Skin Benefit Scrub Collection X3,i like that its non harsh particles
UK,Likes,Skin Benefit Scrub Collection X3,I like body scrubs
UK,Likes,Skin Benefit Scrub Collection X3,Vegan free
UK,Likes,Skin Benefit Scrub Collection X3,Thé benefits and range of conditions it covers
UK,Likes,Skin Benefit Scrub Collection X3,"Different products for different skin types. Vegan, skin friendly and natural ingredients."
UK,Likes,Skin Benefit Scrub Collection X3,Tailored to different skin types. Vegan. Kind to skin.
UK,Likes,Skin Benefit Scrub Collection X3,Looks nice
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,No
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,A little too much text
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,I prefer liquid
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,"Sorry, i thought the last round of questions was for the bar. I think the sativa oil is  likely unnecessary and likely included just to create buzz"
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,Chunky
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,It’s a soap bar
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,"Again, the right side is so busy and has too much going on."
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,Images are inconsistent and generic
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,I don't usually use soap bars so I probably would not use this
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,"I don’t like the bumps sticking out, they look like it might hurt when you wash with it."
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,"I do not like soap bars in general, mainly because of the mess and the way they make my skin feel."
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,Too much going on with the description
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,Nothing
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,I don’t like bar soap
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,I wish it addressed potentially helping KP
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,Too much writing
US,Dislikes,Exfoliationg Body Scrub And Massage Bar,i dont know
US,Dislikes,Nourishing Solid Body Oil Stick,Concerned it would make my skin oily
US,Dislikes,Nourishing Solid Body Oil Stick,No
US,Dislikes,Nourishing Solid Body Oil Stick,It looks not useful to my life currently and there is too much text
US,Dislikes,Nourishing Solid Body Oil Stick,Nothing
US,Dislikes,Nourishing Solid Body Oil Stick,Results uncertain
US,Dislikes,Nourishing Solid Body Oil Stick,the whole idea of sitting in this mess turns me off
US,Dislikes,Nourishing Solid Body Oil Stick,Part of the experience is lotion is the soft hands from the rubbing
US,Dislikes,Nourishing Solid Body Oil Stick,None of the claims are verifiable
US,Dislikes,Nourishing Solid Body Oil Stick,I don’t like the stick concept
US,Dislikes,Nourishing Solid Body Oil Stick,Coconut scent
US,Dislikes,Nourishing Solid Body Oil Stick,nothing
US,Dislikes,Nourishing Solid Body Oil Stick,Seems cheap
US,Dislikes,Nourishing Solid Body Oil Stick,Seems to be aimed at pregnancy
US,Dislikes,Nourishing Solid Body Oil Stick,It seems like several other products
US,Dislikes,Nourishing Solid Body Oil Stick,Cost probably would be an issue.
US,Dislikes,Nourishing Solid Body Oil Stick,it looks nice
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Wonder if it would be scratchy
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,No
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Its just not for me
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,It just seems to be an average product now days.
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Im not big on bath bombs
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,It has too much text
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,...
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,soaking body in product is not for me
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Just picky humans
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Didn’t catch my eye
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I wish there was more about the different scents available
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,The almost naked woman was off putting
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I don’t like bath bombs
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,"The right side is way to busy, it has too much going on."
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Too small to read
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I am not a bath person so this is not something I would use
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Ad is a bit wordy
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Nothing
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Not sure of the price
US,Dislikes,Ph 'V' Friendly Scent-Sitive Bath Bomb,nothing
US,Dislikes,Ph Sensitive Skin Body Wash,Way too cluttered and doesnt catch my interest
US,Dislikes,Ph Sensitive Skin Body Wash,Not tested on animals just picky humans!
US,Dislikes,Ph Sensitive Skin Body Wash,It is fruity
US,Dislikes,Ph Sensitive Skin Body Wash,Doesn’t show the product itself
US,Dislikes,Ph Sensitive Skin Body Wash,Bar of soap. Doubt wont be harsh to skin
US,Dislikes,Ph Sensitive Skin Body Wash,"Again, I don’t like how busy the right side is"
US,Dislikes,Ph Sensitive Skin Body Wash,The ad itself
US,Dislikes,Ph Sensitive Skin Body Wash,I don't like sticks.
US,Dislikes,Ph Sensitive Skin Body Wash,Nothing
US,Dislikes,Ph Sensitive Skin Body Wash,Portrays like a healthy product but sometimes that is not true.
US,Dislikes,Ph Sensitive Skin Body Wash,The cost probably would be a problem.
US,Dislikes,Ph Sensitive Skin Body Wash,i dont know
US,Dislikes,Skin Benefit Scrub Collection X3,Bolder letters
US,Dislikes,Skin Benefit Scrub Collection X3,It just seems to be another average body scrub.
US,Dislikes,Skin Benefit Scrub Collection X3,Nothing
US,Dislikes,Skin Benefit Scrub Collection X3,May take a while to work
US,Dislikes,Skin Benefit Scrub Collection X3,Nothin i didnt like
US,Dislikes,Skin Benefit Scrub Collection X3,Nothing about scents
US,Dislikes,Skin Benefit Scrub Collection X3,I feel like sativa oil was used just to interest people who wouldnt otherwise care. Im skeptikal of actual benefits.
US,Dislikes,Skin Benefit Scrub Collection X3,There's a tub marked Rituals and not Soap and Glory
US,Dislikes,Skin Benefit Scrub Collection X3,nothing
US,Dislikes,Skin Benefit Scrub Collection X3,The pictures are generic and inconsistent
US,Dislikes,Skin Benefit Scrub Collection X3,Really the only thing I did not like is the attachment itself. It did not look that professional in my opinion.
US,Dislikes,Skin Benefit Scrub Collection X3,Too much going on
US,Dislikes,Skin Benefit Scrub Collection X3,nothing i like it
US,Dislikes,Skin Benefit Scrub Collection X3,Looks to be pricey if I had to guess.
US,Likes,Exfoliationg Body Scrub And Massage Bar,A new scent
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like what this product is for.
US,Likes,Exfoliationg Body Scrub And Massage Bar,Skin product
US,Likes,Exfoliationg Body Scrub And Massage Bar,Good
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like that it’s vegan friendly and the benefits it offers for dry skin
US,Likes,Exfoliationg Body Scrub And Massage Bar,I liked the nautral ingedients
US,Likes,Exfoliationg Body Scrub And Massage Bar,Soft aloe
US,Likes,Exfoliationg Body Scrub And Massage Bar,That it is nourishing
US,Likes,Exfoliationg Body Scrub And Massage Bar,It's vegan and it's kind to all skin types it's made with bamboo powders
US,Likes,Exfoliationg Body Scrub And Massage Bar,That it’s natural and environmentally friendly.
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like the bar idea.  I like the ingredients
US,Likes,Exfoliationg Body Scrub And Massage Bar,The add looks nice and informative
US,Likes,Exfoliationg Body Scrub And Massage Bar,100% vegan
US,Likes,Exfoliationg Body Scrub And Massage Bar,"exfoliating, quality ingredients"
US,Likes,Exfoliationg Body Scrub And Massage Bar,All of it
US,Likes,Exfoliationg Body Scrub And Massage Bar,Massage
US,Likes,Exfoliationg Body Scrub And Massage Bar,Kind to skin
US,Likes,Exfoliationg Body Scrub And Massage Bar,The different scents
US,Likes,Exfoliationg Body Scrub And Massage Bar,easy to use and understand. would smell great
US,Likes,Exfoliationg Body Scrub And Massage Bar,Vegan
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like the idea of a exfoliating bar soap.
US,Likes,Exfoliationg Body Scrub And Massage Bar,Everything about this product
US,Likes,Exfoliationg Body Scrub And Massage Bar,Loved it
US,Likes,Exfoliationg Body Scrub And Massage Bar,Fragrances
US,Likes,Exfoliationg Body Scrub And Massage Bar,no animals products
US,Likes,Exfoliationg Body Scrub And Massage Bar,"the fragrance, that its vegan, that it exfoliates, gentle on skin"
US,Likes,Exfoliationg Body Scrub And Massage Bar,i love everything about it. you don't need a loofa you can just use the bar to effoliate
US,Likes,Exfoliationg Body Scrub And Massage Bar,Everything
US,Likes,Exfoliationg Body Scrub And Massage Bar,"Vegan based, better for the environment"
US,Likes,Exfoliationg Body Scrub And Massage Bar,High end
US,Likes,Exfoliationg Body Scrub And Massage Bar,It's interesting
US,Likes,Exfoliationg Body Scrub And Massage Bar,"Vegan, exfoliating"
US,Likes,Exfoliationg Body Scrub And Massage Bar,]quick in shower use
US,Likes,Exfoliationg Body Scrub And Massage Bar,All natural soap bar exfoliation
US,Likes,Exfoliationg Body Scrub And Massage Bar,It exfoliates your skin
US,Likes,Exfoliationg Body Scrub And Massage Bar,floral and fruity
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like how descriptive the ad is.
US,Likes,Exfoliationg Body Scrub And Massage Bar,The style and what it does
US,Likes,Exfoliationg Body Scrub And Massage Bar,I kike that its sugary fkavotd
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like hypoallergenic products and bars
US,Likes,Exfoliationg Body Scrub And Massage Bar,It makes it easy to exfoliate while in the shower or bath
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like that it is made with natural botanical materials.
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like the pink and I like the pictures
US,Likes,Exfoliationg Body Scrub And Massage Bar,Indulgent
US,Likes,Exfoliationg Body Scrub And Massage Bar,"I like that it won't leave skin feeling gross like a regular soap bar would, and I like that it exfoliates the way I would need it to."
US,Likes,Exfoliationg Body Scrub And Massage Bar,It looks very soothing
US,Likes,Exfoliationg Body Scrub And Massage Bar,Gentle and vegan
US,Likes,Exfoliationg Body Scrub And Massage Bar,That it is 100% vegan.
US,Likes,Exfoliationg Body Scrub And Massage Bar,Love this want to try it
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like it all
US,Likes,Exfoliationg Body Scrub And Massage Bar,Dermatologist recommend
US,Likes,Exfoliationg Body Scrub And Massage Bar,It is very pleasant to view and informative
US,Likes,Exfoliationg Body Scrub And Massage Bar,"It exfoliates and smells nice. At least, that’s what’s being advertised."
US,Likes,Exfoliationg Body Scrub And Massage Bar,Its very good and very cheap
US,Likes,Exfoliationg Body Scrub And Massage Bar,Healthy
US,Likes,Exfoliationg Body Scrub And Massage Bar,That its vegan.
US,Likes,Exfoliationg Body Scrub And Massage Bar,I like that it’s in a bar form
US,Likes,Exfoliationg Body Scrub And Massage Bar,It gives you smooth glowing sling without scrubbing
US,Likes,Exfoliationg Body Scrub And Massage Bar,its good for skin
US,Likes,Exfoliationg Body Scrub And Massage Bar,I liked the photos
US,Likes,Exfoliationg Body Scrub And Massage Bar,Exfoliation and moisture in one
US,Likes,Exfoliationg Body Scrub And Massage Bar,I dont know
US,Likes,Nourishing Solid Body Oil Stick,Using it on stretch marks and pregnancy
US,Likes,Nourishing Solid Body Oil Stick,Skin product
US,Likes,Nourishing Solid Body Oil Stick,I like that you can carry it on the go and all the nourishing facts it does
US,Likes,Nourishing Solid Body Oil Stick,The natural ingredients
US,Likes,Nourishing Solid Body Oil Stick,Everything aloe softness
US,Likes,Nourishing Solid Body Oil Stick,Safe for all skin types
US,Likes,Nourishing Solid Body Oil Stick,That it's not made with any nasties and it's made with vitamin E and rosehip oil as well as it has a fragrance.
US,Likes,Nourishing Solid Body Oil Stick,It’s pretty and looks informative
US,Likes,Nourishing Solid Body Oil Stick,The color
US,Likes,Nourishing Solid Body Oil Stick,"Stick oil formula, easy to apply, no mess or rubbing in"
US,Likes,Nourishing Solid Body Oil Stick,All of it
US,Likes,Nourishing Solid Body Oil Stick,Vegan and easy
US,Likes,Nourishing Solid Body Oil Stick,Vegan
US,Likes,Nourishing Solid Body Oil Stick,rosehip oil
US,Likes,Nourishing Solid Body Oil Stick,I like the description.
US,Likes,Nourishing Solid Body Oil Stick,I like that the moisture goes deep
US,Likes,Nourishing Solid Body Oil Stick,The new look the price
US,Likes,Nourishing Solid Body Oil Stick,I loved it
US,Likes,Nourishing Solid Body Oil Stick,I like the formula and that it is in a stik format so that I can take it with me whereever I go and have the convenience of using the stick and not getting my hands greasy.
US,Likes,Nourishing Solid Body Oil Stick,No mess. Can just rub it on. Others can run it on without awkwardness
US,Likes,Nourishing Solid Body Oil Stick,I LOVE THE WHOLE CONCEPT GLOW AND SOFTEN AND A STICK
US,Likes,Nourishing Solid Body Oil Stick,Everything
US,Likes,Nourishing Solid Body Oil Stick,It provides basic care and is good for the planet
US,Likes,Nourishing Solid Body Oil Stick,"Informative, lots of facts"
US,Likes,Nourishing Solid Body Oil Stick,Low waste
US,Likes,Nourishing Solid Body Oil Stick,I liked that pregnant woman can use it
US,Likes,Nourishing Solid Body Oil Stick,I like the ease of use
US,Likes,Nourishing Solid Body Oil Stick,Soap bar gets lessen stretch marks
US,Likes,Nourishing Solid Body Oil Stick,The fragrance
US,Likes,Nourishing Solid Body Oil Stick,the roll on
US,Likes,Nourishing Solid Body Oil Stick,Moisturizing
US,Likes,Nourishing Solid Body Oil Stick,I like that it is a soft food flavors
US,Likes,Nourishing Solid Body Oil Stick,I like that it’s dermatologist approved
US,Likes,Nourishing Solid Body Oil Stick,Its something I've never seen before
US,Likes,Nourishing Solid Body Oil Stick,love the packaging and fonts
US,Likes,Nourishing Solid Body Oil Stick,my skin gets very dry at times. so i would love this
US,Likes,Nourishing Solid Body Oil Stick,I like that it is vegan and made with natural ingredients.
US,Likes,Nourishing Solid Body Oil Stick,I love Soap and Glory
US,Likes,Nourishing Solid Body Oil Stick,Accuracy
US,Likes,Nourishing Solid Body Oil Stick,Nothing
US,Likes,Nourishing Solid Body Oil Stick,Bullet points
US,Likes,Nourishing Solid Body Oil Stick,It looks like its spa quality
US,Likes,Nourishing Solid Body Oil Stick,This seems to be nourishing and gentle to dry skin
US,Likes,Nourishing Solid Body Oil Stick,New way to apply product.
US,Likes,Nourishing Solid Body Oil Stick,That it’s dermatology approved.
US,Likes,Nourishing Solid Body Oil Stick,I love it I want it
US,Likes,Nourishing Solid Body Oil Stick,Good for all types of skin
US,Likes,Nourishing Solid Body Oil Stick,It nourishes the skin
US,Likes,Nourishing Solid Body Oil Stick,Elements
US,Likes,Nourishing Solid Body Oil Stick,I like that it’s a lotion alternative
US,Likes,Nourishing Solid Body Oil Stick,Has vitamin E and rosehip oil
US,Likes,Nourishing Solid Body Oil Stick,I liked the coloring of this product’s advertisement
US,Likes,Nourishing Solid Body Oil Stick,Looks like it provides good moisture.
US,Likes,Nourishing Solid Body Oil Stick,Delivers Moisture instantly
US,Likes,Nourishing Solid Body Oil Stick,It looks nice
US,Likes,Nourishing Solid Body Oil Stick,I like the benefits and the ingredients
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Trying a new skin regimen
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Beauty products
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Gentle on your skin and 100 percent vegan
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,It is natural
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Looks soft
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,That it specifically states it’s ‘V’ friendly.
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I like the concept and some people will find this appealing
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,It’s pretty and looks informative
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,100® vegan
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,"I like that it is supposed to be ph balanced, gentle, and vegan"
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,No irritation
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,easy to understand and it sounds luxueious
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,chamomile
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Luxurious fragrance
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Not tested on animals
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,"I like that is highly fragranced, leaves skin smooth and smelling great. I like that it is ph balanced and will not cause irritation."
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I liked that. It emphasized the gentleness and that it’s vegan.
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I like the scent notes and that this a product designed for women and our specific needs.  I like that this uses natual ingredients.
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I liked that it is not irritating to sensitive areas
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Anything that takes into account vagina health while bathing is great. And I love bath bombs.
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,i loved the whole concept a bath balm that does not mess up your ph
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,The description was very appealing
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,The fact that it's V safe
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Good for sensitive skin
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,It’s a bath bomb
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,How eye catching it is
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,That it’s hypoallergenic
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Natural ingredients
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I liked the flavor scents of it
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,The colors and vegan
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,That it's sensitive
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,"the font, colors, photos"
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,love a good bathbomb. love the scents and what it does for the skin
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I like that the ingredients are made to be gentle.
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,"I like the pink, it looks relaxing"
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,"I like that it isnt irritating, and I like the ingredients in it."
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Relaxing product
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Nice
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,It made me want it
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,No harsh chemicals used
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Vegan
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,xdfgdfh
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,The bath bomb makes you smell good
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I love the images
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Great concept
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Its very good and very important
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Healthy
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Its vegan
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I like the idea that it’s pH balanced and won’t lead to irritation
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,gentle on skin
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,Has vitamin E nit tested on animal
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,The photos
US,Likes,Ph 'V' Friendly Scent-Sitive Bath Bomb,I like the ingredients and that it’s 100% vegan
US,Likes,Ph Sensitive Skin Body Wash,I could use this product
US,Likes,Ph Sensitive Skin Body Wash,Good ingredients
US,Likes,Ph Sensitive Skin Body Wash,Good
US,Likes,Ph Sensitive Skin Body Wash,Gentle aloe
US,Likes,Ph Sensitive Skin Body Wash,That it's made from aloe
US,Likes,Ph Sensitive Skin Body Wash,The ingredients
US,Likes,Ph Sensitive Skin Body Wash,The list of items in it is small.
US,Likes,Ph Sensitive Skin Body Wash,That it’s vegan and made from natural ingredients.
US,Likes,Ph Sensitive Skin Body Wash,Everything
US,Likes,Ph Sensitive Skin Body Wash,All of it
US,Likes,Ph Sensitive Skin Body Wash,"Not tested on animals, additives for the skin needs"
US,Likes,Ph Sensitive Skin Body Wash,Gentle
US,Likes,Ph Sensitive Skin Body Wash,The description
US,Likes,Ph Sensitive Skin Body Wash,I love the original pink. Pink is my favorite color.
US,Likes,Ph Sensitive Skin Body Wash,I lime that it contains aloe and is vegan.
US,Likes,Ph Sensitive Skin Body Wash,"Vegan, specific uses"
US,Likes,Ph Sensitive Skin Body Wash,Does not irritate sensitive skin
US,Likes,Ph Sensitive Skin Body Wash,It is comprised of natural ingredients and is safe for sensitive skin and offers a thorough and comprehensive clean
US,Likes,Ph Sensitive Skin Body Wash,I like trying new and improved chemicals
US,Likes,Ph Sensitive Skin Body Wash,I liked the scent notes and that this is a natural product.  I like that it is designed for womens specific needs.
US,Likes,Ph Sensitive Skin Body Wash,I’m very excited any anything for sensitive skin. And the scent sounds nice.
US,Likes,Ph Sensitive Skin Body Wash,i like that it's not tested on animals
US,Likes,Ph Sensitive Skin Body Wash,that it has aloe vera and oatmeal in it.  its for sensitive skin.
US,Likes,Ph Sensitive Skin Body Wash,There is no irritation and it’s gentle
US,Likes,Ph Sensitive Skin Body Wash,Effective
US,Likes,Ph Sensitive Skin Body Wash,Natural fruit
US,Likes,Ph Sensitive Skin Body Wash,How new and inventive it is
US,Likes,Ph Sensitive Skin Body Wash,Organic suitable all skin types
US,Likes,Ph Sensitive Skin Body Wash,floral
US,Likes,Ph Sensitive Skin Body Wash,"Again, I liked how descriptive the ad is."
US,Likes,Ph Sensitive Skin Body Wash,"I like the layout,the product itself and what it does"
US,Likes,Ph Sensitive Skin Body Wash,Vegan all skin types
US,Likes,Ph Sensitive Skin Body Wash,That it's moisturizing
US,Likes,Ph Sensitive Skin Body Wash,Like the scent and that it’s hypoallergenic
US,Likes,Ph Sensitive Skin Body Wash,"I like the colors used, I like that the ingredients are listed. I like very much that it uses nice scents and natural products."
US,Likes,Ph Sensitive Skin Body Wash,It assures body area is covered.
US,Likes,Ph Sensitive Skin Body Wash,Nothing
US,Likes,Ph Sensitive Skin Body Wash,Safe
US,Likes,Ph Sensitive Skin Body Wash,This seems like it won't irritate skin
US,Likes,Ph Sensitive Skin Body Wash,Gentle and vegan
US,Likes,Ph Sensitive Skin Body Wash,It looks like it smells good.
US,Likes,Ph Sensitive Skin Body Wash,cgfhfh
US,Likes,Ph Sensitive Skin Body Wash,Good for sensitive skin.
US,Likes,Ph Sensitive Skin Body Wash,Want to try this
US,Likes,Ph Sensitive Skin Body Wash,I liked it alot
US,Likes,Ph Sensitive Skin Body Wash,Love the images and descriptions
US,Likes,Ph Sensitive Skin Body Wash,The scent
US,Likes,Ph Sensitive Skin Body Wash,Good concept
US,Likes,Ph Sensitive Skin Body Wash,Ingredients
US,Likes,Ph Sensitive Skin Body Wash,Its vegan
US,Likes,Ph Sensitive Skin Body Wash,I like that it’s vegan and for sensitive skin
US,Likes,Ph Sensitive Skin Body Wash,"Looks like it smells awesome, and great moisturizer."
US,Likes,Ph Sensitive Skin Body Wash,I dont know
US,Likes,Ph Sensitive Skin Body Wash,I love that this natural and the ingredients
US,Likes,Skin Benefit Scrub Collection X3,It’s descriptive yet to Theo pint
US,Likes,Skin Benefit Scrub Collection X3,Dermatologist tested. good ingredients
US,Likes,Skin Benefit Scrub Collection X3,Good
US,Likes,Skin Benefit Scrub Collection X3,I love the pink color of the scrub n looks fragrant
US,Likes,Skin Benefit Scrub Collection X3,It's made with volcanic ash and it's made for all skin types.
US,Likes,Skin Benefit Scrub Collection X3,Minimal ingredients
US,Likes,Skin Benefit Scrub Collection X3,I love that it wont make my skin feel dry and stripped. I like the omega 3.
US,Likes,Skin Benefit Scrub Collection X3,Bright colors
US,Likes,Skin Benefit Scrub Collection X3,"exfoliant, quality ingredients, vegan"
US,Likes,Skin Benefit Scrub Collection X3,All thing
US,Likes,Skin Benefit Scrub Collection X3,Its vegan
US,Likes,Skin Benefit Scrub Collection X3,Easy to use smooth skin
US,Likes,Skin Benefit Scrub Collection X3,Rejuvenating your skin.
US,Likes,Skin Benefit Scrub Collection X3,The description
US,Likes,Skin Benefit Scrub Collection X3,I like that it DETOXES
US,Likes,Skin Benefit Scrub Collection X3,I like most of the images.
US,Likes,Skin Benefit Scrub Collection X3,"Vegan, uses"
US,Likes,Skin Benefit Scrub Collection X3,Remarkable moisturizing properties
US,Likes,Skin Benefit Scrub Collection X3,Getting rid of dead skin
US,Likes,Skin Benefit Scrub Collection X3,I like that there are three varieties for different skin issues.
US,Likes,Skin Benefit Scrub Collection X3,Vegan
US,Likes,Skin Benefit Scrub Collection X3,"I like that people with sensitive skin can use it, and i like the fragrances."
US,Likes,Skin Benefit Scrub Collection X3,shows the product being used
US,Likes,Skin Benefit Scrub Collection X3,"like that it is for problem skin, has high vitamin c content.  helps for dry skin"
US,Likes,Skin Benefit Scrub Collection X3,It shows facts of all 3
US,Likes,Skin Benefit Scrub Collection X3,I liked that it’s a nourishing scrub
US,Likes,Skin Benefit Scrub Collection X3,It seems like they are trying more natural approaches
US,Likes,Skin Benefit Scrub Collection X3,All the fragrance
US,Likes,Skin Benefit Scrub Collection X3,Its an ok product
US,Likes,Skin Benefit Scrub Collection X3,I like that it is vegan
US,Likes,Skin Benefit Scrub Collection X3,Vegan all skin typed
US,Likes,Skin Benefit Scrub Collection X3,looks simple and natural
US,Likes,Skin Benefit Scrub Collection X3,I like that it is a skin benefits scrub.
